age_months,mileage_km,fast_charge_pct,climate_zone,soh_pct
9.1,77657,13.4,hot,92.47
71.7,91357,7.0,temperate,91.49
25.2,132549,49.3,temperate,89.04
89.9,88767,8.1,cold,93.87
23.1,86941,72.4,hot,88.9
11.8,96346,55.2,hot,91.86
79.8,73551,83.6,temperate,90.15
14.7,84005,28.0,hot,93.27
17.2,112250,51.9,temperate,92.34
57.5,56054,11.7,cold,95.13
84.0,131434,88.5,hot,85.02
18.9,46742,17.5,temperate,95.68
29.8,104377,10.2,cold,89.94
74.6,76434,20.5,temperate,92.45
93.3,190192,80.6,temperate,82.93
48.1,147427,10.6,temperate,89.56
13.8,33829,61.4,hot,92.07
1.3,39907,74.6,hot,94.96
22.0,88889,75.1,temperate,88.87
12.7,96713,19.0,temperate,93.34
65.1,107331,6.2,hot,89.1
11.7,28502,44.9,hot,94.14
48.6,53005,20.2,cold,95.12
66.6,175513,69.9,hot,85.28
55.8,101132,35.7,temperate,92.28
19.2,120686,44.9,temperate,92.51
77.2,122215,11.3,temperate,89.43
68.7,167915,56.8,hot,87.22
70.9,69650,18.6,hot,90.04
12.6,24167,67.9,temperate,95.73
11.9,121456,7.1,temperate,91.84
89.0,187904,97.6,hot,81.13
38.2,69572,68.5,temperate,92.36
28.9,66696,18.2,temperate,95.19
46.9,93381,1.4,hot,93.14
63.6,102969,33.4,temperate,90.98
91.7,99255,15.3,hot,90.06
27.5,130721,21.8,temperate,91.39
88.8,104382,87.3,hot,87.2
2.4,86621,60.3,temperate,93.37
53.3,52475,17.6,hot,93.47
60.9,55368,55.7,temperate,93.29
10.2,86919,25.6,temperate,91.56
13.5,51909,97.6,cold,91.86
40.2,112184,3.3,temperate,90.38
92.8,88581,73.2,cold,89.1
57.2,161666,77.3,hot,87.22
89.6,164464,6.7,temperate,87.63
77.2,169501,17.2,hot,86.84
44.9,53767,38.4,temperate,94.34
75.3,101200,86.8,temperate,85.95
1.7,45628,53.7,cold,94.42
10.5,73192,65.5,temperate,93.02
79.6,101979,78.3,temperate,85.17
76.5,71021,82.8,hot,87.83
22.3,62877,47.6,hot,94.04
51.0,73007,50.9,cold,92.64
58.2,94792,71.8,hot,89.23
83.3,93054,26.3,hot,91.04
57.9,79676,85.4,cold,89.79
39.6,108240,2.1,cold,92.64
35.9,76513,19.6,temperate,92.91
40.9,75517,80.0,temperate,90.92
62.6,116223,34.0,cold,88.88
83.3,162023,15.0,hot,88.5
43.6,81776,18.7,temperate,94.68
23.8,90330,53.1,temperate,93.31
22.7,134877,84.6,cold,87.46
71.6,122319,7.1,cold,89.05
78.4,174501,3.0,temperate,89.59
10.1,103663,46.5,hot,92.11
6.4,12371,95.6,temperate,95.07
57.1,99047,27.9,hot,89.6
14.0,95492,95.9,cold,90.39
79.2,184379,88.8,hot,81.72
29.8,79832,28.3,hot,93.06
13.8,22644,81.7,temperate,95.95
88.4,141119,68.6,temperate,88.87
15.9,28430,51.2,cold,95.78
27.3,112960,42.3,hot,88.53
14.7,73210,81.6,cold,91.77
11.1,96051,79.3,hot,93.02
2.0,106015,75.7,hot,89.96
5.3,79905,99.8,temperate,91.13
16.8,87464,47.9,hot,93.47
5.1,94819,80.7,temperate,91.98
56.7,148386,86.2,hot,88.55
65.3,158744,21.2,hot,86.52
37.8,35862,4.2,temperate,94.7
30.5,92182,40.5,hot,92.63
48.4,66314,85.7,temperate,89.39
84.0,173242,28.9,temperate,86.74
81.7,145898,70.0,hot,85.56
4.2,53905,0.7,cold,97.7
17.4,37092,35.5,hot,95.49
22.7,59622,61.6,temperate,93.44
23.9,104404,13.0,hot,91.47
54.8,70222,89.7,cold,91.38
40.0,44531,15.6,temperate,99.77
4.7,110504,91.0,temperate,90.9
35.9,121594,21.6,cold,90.76
50.3,65876,99.4,hot,87.82
9.8,43211,60.5,cold,93.4
80.0,183325,8.4,temperate,87.11
5.0,89139,6.5,cold,93.74
88.8,147250,7.5,cold,88.53
9.5,44844,59.0,cold,96.29
81.0,103381,81.0,hot,88.84
86.7,76955,40.3,cold,90.6
94.0,165783,44.5,cold,84.58
77.0,69343,58.9,temperate,92.71
74.8,62941,53.3,hot,90.57
61.7,138938,68.8,cold,85.07
74.8,176185,47.2,hot,86.07
12.9,101545,71.4,temperate,92.04
51.5,99482,99.7,temperate,85.61
49.4,99463,35.0,hot,89.32
82.3,120942,1.2,temperate,90.6
44.4,75981,12.6,hot,93.43
37.0,93413,55.4,temperate,90.37
61.4,102903,34.4,cold,89.33
25.6,93097,94.0,hot,90.07
13.4,118956,62.7,temperate,89.7
45.9,157631,52.0,hot,87.49
40.0,42800,79.8,cold,90.79
22.3,64768,25.9,cold,92.2
35.3,51086,82.0,hot,92.27
35.2,71566,0.3,temperate,94.64
31.4,60696,62.0,temperate,93.63
36.4,51302,93.5,temperate,90.94
65.8,146549,78.8,temperate,85.73
28.5,83305,85.4,temperate,92.18
91.1,186218,39.7,temperate,83.93
88.0,77219,82.4,hot,89.91
46.2,46510,55.1,temperate,94.68
31.5,74662,61.9,cold,92.57
51.4,52468,5.9,hot,92.93
81.5,99412,20.2,temperate,90.08
62.6,170531,55.1,hot,85.28
77.2,89426,5.9,cold,90.2
51.1,66392,74.1,temperate,90.06
60.8,119470,84.0,temperate,88.71
27.7,82812,92.0,hot,90.47
70.5,128444,10.2,temperate,88.97
19.4,61401,94.0,cold,92.21
66.7,154795,6.8,temperate,89.68
82.6,85487,47.4,temperate,92.46
12.7,61975,84.0,temperate,92.98
59.0,131922,7.0,temperate,91.71
9.1,111796,1.8,temperate,93.85
69.7,102406,2.5,hot,92.01
8.1,74889,51.1,hot,91.32
89.9,83172,81.2,temperate,89.13
13.2,31431,12.7,cold,96.41
92.1,85007,12.5,cold,91.1
76.9,151416,56.9,cold,87.16
57.0,82062,23.4,temperate,93.08
75.1,149459,73.0,hot,85.98
76.3,71577,95.0,temperate,89.35
90.8,179188,76.6,cold,83.26
24.3,120534,87.7,temperate,90.06
56.6,57878,52.0,temperate,92.81
9.1,10455,83.2,temperate,93.87
59.2,56048,18.3,cold,93.14
16.4,116139,6.8,cold,90.2
54.2,73360,65.6,cold,90.79
55.0,111587,5.2,temperate,91.38
44.7,88428,89.2,hot,88.16
50.2,137274,69.2,temperate,89.79
73.3,119782,95.2,hot,84.77
76.7,124019,31.4,cold,89.87
47.2,158063,48.6,temperate,90.37
57.6,65983,74.2,temperate,92.37
89.4,174183,24.3,hot,85.81
11.5,15789,54.2,temperate,94.5
11.2,66686,65.9,temperate,91.22
8.4,113377,97.9,hot,88.55
63.2,132455,74.5,cold,86.38
40.2,115714,11.8,temperate,90.66
74.3,93544,47.5,temperate,90.01
64.4,103927,58.9,hot,88.53
32.0,70681,14.7,temperate,94.48
86.2,134443,43.2,temperate,86.81
73.2,116470,28.4,cold,88.78
26.0,60871,11.9,hot,93.88
35.0,65793,51.2,cold,92.05
30.2,55258,16.6,temperate,96.86
15.1,56415,59.1,hot,93.26
14.2,29816,17.0,hot,94.11
89.9,179543,72.4,hot,84.15
42.0,107287,19.5,cold,91.9
36.8,46720,89.6,hot,91.06
70.0,141638,2.6,temperate,88.43
53.1,145959,52.2,temperate,90.17
89.9,103395,32.0,cold,88.45
74.9,80496,22.5,temperate,92.84
46.0,39384,47.2,cold,93.65
36.1,35779,84.2,hot,92.72
94.7,170401,91.5,cold,85.95
68.9,175883,30.3,hot,86.74
91.3,81481,15.4,hot,90.12
11.4,99247,72.0,cold,92.13
81.7,76666,58.2,hot,88.81
61.2,122022,20.1,hot,89.6
11.7,100483,76.0,temperate,89.19
56.5,90165,51.9,hot,88.63
65.9,56200,65.3,hot,90.8
1.2,72407,35.9,temperate,95.0
43.6,155295,43.9,cold,85.78
79.2,96946,18.0,cold,91.45
28.4,46368,75.7,hot,91.16
44.0,51555,15.7,temperate,96.01
42.5,102016,77.8,cold,88.74
29.0,95728,79.8,hot,88.13
88.2,168548,74.7,hot,84.24
75.0,152872,1.9,hot,87.09
10.6,115952,27.3,temperate,93.49
95.7,176455,46.8,hot,84.68
84.4,100008,59.6,temperate,89.22
27.3,89418,91.9,cold,90.46
80.3,102641,37.6,hot,87.92
10.2,48088,87.5,temperate,91.43
95.9,191762,16.3,hot,85.62
63.9,135082,37.1,hot,86.66
62.4,168961,5.2,cold,86.84
8.7,57265,74.2,temperate,94.14
86.1,136255,15.1,cold,89.48
2.8,60774,25.7,temperate,93.84
23.1,32141,77.5,hot,92.28
13.7,39846,53.5,temperate,93.49
74.6,125458,1.4,hot,91.72
19.0,23941,0.2,cold,98.13
87.4,184626,51.1,temperate,84.95
63.0,67363,30.5,hot,92.35
3.5,26651,18.0,temperate,95.67
0.5,92273,61.4,temperate,91.87
5.0,15765,22.8,cold,97.53
58.2,156507,59.2,hot,86.74
76.9,151203,37.9,hot,86.66
22.9,27319,18.7,hot,95.92
81.5,150974,13.8,temperate,88.83
5.5,80374,23.7,temperate,94.02
76.9,154959,3.0,hot,87.63
89.1,173607,30.8,temperate,86.27
74.1,147971,90.2,temperate,86.26
67.0,126191,83.1,hot,86.99
80.4,105734,37.2,cold,89.85
3.9,86885,57.6,temperate,91.25
19.4,130979,56.7,temperate,88.44
12.0,80497,82.9,temperate,91.93
48.4,120084,23.6,hot,91.53
71.5,112070,29.6,cold,89.99
60.5,141135,30.2,temperate,88.52
81.7,187811,4.1,temperate,87.55
14.9,31664,31.5,cold,94.24
70.5,83058,87.8,cold,90.53
18.5,80176,91.2,cold,90.83
26.0,79426,11.0,hot,92.38
68.2,125381,45.8,hot,87.8
94.1,84305,38.1,temperate,90.23
58.7,97437,48.9,temperate,92.06
5.2,74317,55.5,temperate,93.02
59.2,119528,2.0,cold,91.03
4.1,82268,84.2,hot,92.25
84.9,157158,97.4,hot,83.01
68.1,133752,65.3,temperate,88.04
16.6,108679,66.0,hot,90.33
8.8,82309,52.8,temperate,90.87
17.6,79184,33.4,temperate,93.54
94.1,151146,14.9,temperate,88.4
44.0,48828,58.4,temperate,93.06
75.3,95505,4.5,temperate,92.05
61.1,114201,82.5,temperate,88.57
55.0,150552,42.1,hot,88.89
13.9,93097,41.5,temperate,90.96
90.8,86531,32.7,temperate,90.62
28.9,95180,96.9,hot,89.62
55.5,72850,17.5,temperate,93.63
67.2,144064,15.1,cold,89.44
62.3,151232,16.6,hot,91.35
90.3,146462,65.9,temperate,87.45
14.3,82839,99.2,cold,91.73
48.8,81299,23.5,cold,91.81
38.8,85873,90.6,temperate,88.71
45.5,141627,27.9,temperate,89.07
11.4,96336,64.8,cold,92.08
12.9,73098,4.0,temperate,95.42
26.7,66434,49.6,hot,92.74
29.3,30422,65.5,hot,93.05
41.1,51393,53.6,cold,92.26
58.7,72042,23.8,temperate,92.55
60.9,95576,82.8,hot,89.09
39.5,146242,97.0,hot,86.85
39.2,93321,45.9,cold,89.77
20.9,45591,63.6,temperate,94.49
56.5,59755,79.0,cold,90.04
30.4,65960,24.1,temperate,94.37
3.5,100772,86.4,cold,90.52
40.2,79473,28.0,cold,94.23
45.5,130631,77.6,hot,86.68
21.7,114372,11.2,temperate,92.42
55.0,59095,28.8,hot,93.12
54.3,118301,53.4,cold,87.94
67.4,171252,52.5,hot,85.37
62.2,100092,85.0,temperate,88.51
62.6,58308,99.6,cold,89.3
30.4,136093,10.7,hot,89.64
75.6,169035,27.1,cold,88.3
52.7,106589,35.8,hot,89.09
41.4,100784,47.9,temperate,91.47
60.1,75490,49.4,temperate,91.91
34.6,127187,85.6,temperate,86.48
49.2,100851,77.1,temperate,90.04
70.7,63002,1.9,cold,91.69
85.1,152874,45.5,hot,86.93
88.4,187744,61.8,temperate,84.24
48.3,139789,46.0,cold,88.38
49.9,74886,13.1,cold,91.34
76.8,70389,39.7,hot,90.9
30.2,137998,41.2,cold,90.35
80.4,179438,18.8,hot,85.07
47.4,103421,75.6,temperate,88.66
11.1,86347,32.1,temperate,93.78
6.9,61277,58.9,cold,94.1
80.8,117731,51.6,hot,84.88
5.3,18779,87.7,hot,96.88
26.9,34059,12.2,cold,96.35
32.1,54658,11.4,hot,94.97
16.6,114236,30.0,temperate,91.49
30.1,42611,43.1,temperate,92.0
71.3,86619,29.9,temperate,92.33
1.4,67008,76.3,hot,92.36
79.4,91990,24.5,hot,90.86
82.2,88109,8.5,cold,91.34
35.7,97379,41.4,temperate,91.67
14.7,56460,77.3,hot,91.34
57.7,123206,85.1,hot,87.89
11.5,119038,73.3,hot,88.09
35.0,47313,55.8,cold,95.72
92.0,186286,72.4,hot,85.94
95.6,187936,68.1,hot,85.22
74.1,161259,23.4,temperate,89.52
29.9,100631,55.1,hot,90.08
66.0,129431,77.1,hot,88.01
67.7,133138,31.7,cold,88.65
37.2,113887,65.4,temperate,87.69
61.5,53249,48.1,hot,93.51
1.0,115829,50.3,temperate,93.2
20.1,86997,9.0,hot,93.14
50.4,135783,66.6,hot,85.72
15.7,58374,86.6,temperate,91.53
15.9,14760,14.1,temperate,95.11
80.3,128073,36.6,temperate,90.13
95.0,139993,4.9,cold,86.96
53.4,96916,3.0,hot,91.93
80.6,107892,99.0,cold,86.02
95.1,109205,49.3,temperate,87.44
13.6,74633,35.6,hot,93.39
43.0,80893,27.5,cold,91.81
37.7,147798,98.0,hot,86.8
7.7,27155,25.2,temperate,95.14
72.5,98786,72.6,temperate,88.27
41.6,69978,28.4,hot,89.45
45.1,102743,7.0,cold,89.26
14.5,71967,68.3,hot,94.03
17.4,91723,0.2,cold,96.23
87.1,186569,67.6,hot,83.67
4.3,37798,25.0,hot,95.14
22.4,101761,74.6,temperate,89.91
28.0,26370,77.0,cold,94.52
47.1,70702,72.4,hot,89.71
56.3,102562,2.4,cold,92.04
47.4,43183,70.4,hot,91.76
8.1,80850,99.0,temperate,90.32
23.4,100891,24.3,temperate,91.66
81.0,157095,27.4,hot,87.15
61.2,112996,81.4,cold,86.77
62.3,124405,16.0,temperate,90.92
64.3,101144,66.1,temperate,88.93
73.2,65983,75.5,temperate,90.84
5.6,16643,3.7,temperate,99.85
35.2,107928,55.4,temperate,90.11
51.8,162629,57.6,cold,87.77
32.5,28973,30.3,temperate,93.19
81.1,134468,87.6,temperate,86.06
46.3,128727,16.3,temperate,90.56
73.8,160703,36.4,temperate,89.81
81.8,133586,84.9,temperate,84.41
48.5,114773,19.1,temperate,90.95
87.3,156371,82.1,temperate,87.37
56.4,150046,7.9,cold,88.22
81.6,82697,48.9,cold,90.02
32.7,138389,7.5,cold,90.88
47.9,43027,67.8,cold,92.57
51.0,142857,79.1,temperate,89.07
10.1,17607,85.0,temperate,95.15
38.3,55240,98.1,hot,91.98
88.1,73854,67.2,temperate,89.9
60.6,103897,76.9,hot,87.16
17.0,54324,50.6,hot,93.04
32.5,47028,91.3,cold,90.31
18.4,69459,64.4,cold,92.81
2.4,50270,88.4,temperate,92.95
89.0,166316,23.5,hot,85.48
43.0,143032,49.7,temperate,89.16
29.5,102911,73.0,temperate,88.66
57.5,62807,20.3,cold,93.92
0.7,36032,21.1,cold,96.44
26.7,131840,97.8,hot,88.45
67.5,66891,43.5,hot,90.56
60.8,99524,18.2,hot,91.37
94.3,191645,33.1,hot,84.72
59.6,163708,39.7,temperate,88.42
45.8,87545,62.3,hot,90.06
73.1,141002,92.3,hot,83.22
86.7,127076,98.7,hot,86.51
69.2,148071,65.2,hot,85.95
92.5,80847,70.0,temperate,90.74
75.1,79859,32.2,hot,91.45
83.2,143048,85.7,cold,84.82
11.0,37035,21.8,hot,94.62
70.3,138519,10.6,hot,89.47
42.2,77354,97.3,hot,88.8
53.1,150646,86.4,temperate,87.58
62.8,150639,30.4,hot,87.3
93.1,136726,67.5,temperate,88.31
94.5,171514,46.7,hot,85.47
27.7,55595,32.3,cold,94.16
70.4,118011,28.7,hot,88.54
72.0,83697,13.6,temperate,92.58
33.3,131026,54.9,cold,90.36
11.9,108678,44.7,hot,91.09
3.9,111534,51.2,hot,92.08
74.6,167485,21.5,cold,87.34
47.0,154328,93.9,hot,85.44
94.6,106244,63.9,hot,89.61
44.6,149017,90.0,temperate,88.05
93.9,146779,10.9,hot,87.74
39.5,83625,62.3,cold,91.05
76.2,130739,84.9,temperate,86.17
8.1,47898,33.1,temperate,95.08
53.3,79063,19.5,hot,92.19
77.0,93123,26.5,temperate,92.23
88.8,83867,27.3,temperate,92.32
79.0,125394,44.7,hot,86.41
3.5,109489,32.6,cold,93.64
35.8,105434,27.1,temperate,91.44
4.7,66413,64.9,cold,92.03
10.5,60174,5.3,hot,96.85
64.8,109753,34.0,hot,91.1
68.5,82174,69.0,temperate,90.55
74.3,160650,17.6,cold,88.65
83.1,93042,22.1,temperate,92.19
71.0,145149,20.1,hot,89.63
76.9,155268,0.1,cold,89.58
4.7,72901,47.4,hot,91.84
22.5,122314,3.9,hot,93.9
59.7,84678,27.3,temperate,93.25
82.4,174444,99.5,hot,82.4
0.4,87889,91.8,hot,90.39
49.4,137020,21.5,hot,89.57
65.0,133933,31.0,cold,88.48
2.8,103930,46.4,hot,92.55
38.5,151280,84.4,temperate,87.78
86.0,122070,80.3,cold,86.27
64.5,151399,12.6,temperate,87.78
22.8,108362,12.4,temperate,92.88
81.9,122567,41.7,temperate,88.4
33.4,139076,87.0,temperate,87.72
81.9,115599,88.2,temperate,85.91
28.7,91771,10.7,cold,92.52
56.7,59939,57.4,cold,92.53
38.1,58848,15.6,temperate,95.0
26.4,122870,68.6,hot,87.74
85.1,118511,91.6,cold,85.29
18.0,62298,45.5,hot,93.08
8.1,36303,8.3,cold,97.38
32.8,86347,57.9,hot,91.14
68.9,154109,40.9,temperate,87.14
77.5,172014,81.1,cold,84.97
95.9,88313,34.0,temperate,92.6
28.5,92687,87.5,hot,89.59
39.2,88708,27.4,cold,89.99
13.1,84660,15.8,temperate,94.11
55.2,99663,30.6,hot,92.73
95.8,127644,3.5,temperate,88.51
67.3,112696,28.1,temperate,90.4
57.1,117457,66.0,temperate,88.57
37.7,91508,14.2,hot,92.07
87.9,129881,11.1,temperate,90.01
47.7,137894,13.2,cold,91.16
12.9,100227,7.8,hot,93.08
35.1,70196,87.5,temperate,92.45
6.4,101443,94.4,temperate,90.12
19.4,118596,4.7,cold,91.69
1.7,19833,76.0,temperate,94.71
43.5,106184,73.7,cold,86.91
60.9,85001,99.7,hot,88.41
33.0,116164,34.8,temperate,93.26
40.4,62285,28.6,cold,93.74
92.1,157305,45.3,cold,87.28
72.2,90772,85.7,temperate,88.57
51.9,104606,72.9,temperate,89.04
27.3,136601,47.2,temperate,90.64
86.1,117517,24.5,hot,91.17
22.6,123896,72.7,cold,90.77
31.2,144461,85.5,cold,88.08
87.3,177707,40.0,temperate,86.29
50.8,62267,66.9,hot,91.1
71.3,157744,40.0,hot,85.62
56.7,51118,47.8,hot,90.23
62.7,99471,52.5,temperate,88.8
28.7,128439,77.6,temperate,88.66
23.2,101960,97.8,hot,88.37
31.0,89728,44.4,temperate,90.03
14.9,58979,34.2,cold,94.08
83.9,167421,37.4,hot,85.42
27.2,107807,13.4,temperate,90.84
53.9,101128,29.7,temperate,90.74
76.0,170456,8.6,hot,86.63
75.2,90300,42.8,temperate,90.0
42.1,55518,16.7,temperate,95.4
45.7,115237,34.6,hot,87.37
95.5,196215,79.4,hot,80.01
64.8,83639,24.6,cold,91.6
78.2,95132,61.2,hot,88.73
86.6,88944,90.1,temperate,89.18
75.6,166275,56.7,temperate,85.73
17.8,41982,19.4,cold,94.33
54.0,105355,34.5,temperate,90.77
9.8,127056,59.0,cold,89.5
62.7,53691,50.7,temperate,94.38
91.7,143206,14.9,temperate,88.5
49.2,102493,44.7,temperate,90.57
41.6,131531,54.3,temperate,91.97
3.4,45501,26.7,temperate,95.77
92.1,126023,61.2,hot,87.38
9.9,28393,7.0,temperate,97.97
3.9,92184,33.7,temperate,94.23
23.6,113850,80.4,hot,89.14
6.3,21642,25.9,hot,96.93
43.7,83624,60.5,cold,90.86
49.5,148436,41.0,temperate,87.78
30.0,25330,31.6,cold,95.65
4.9,39928,91.6,temperate,96.0
10.7,75533,34.3,cold,94.99
36.9,70852,23.7,cold,93.43
5.8,37488,90.9,hot,94.38
67.0,111060,74.6,cold,87.12
19.9,38344,68.2,hot,92.94
29.0,87721,5.0,temperate,94.67
37.8,116334,13.1,cold,92.97
40.0,102364,63.8,hot,88.42
0.2,11306,20.9,temperate,97.88
10.8,110295,22.6,temperate,95.05
82.8,90019,77.9,hot,88.2
0.1,91876,28.6,hot,96.29
48.8,83921,7.2,hot,92.47
47.0,133092,3.6,hot,90.26
32.0,51400,44.3,temperate,93.31
41.4,56906,61.7,temperate,93.57
74.9,122090,86.9,temperate,89.02
80.8,71249,11.1,temperate,91.61
25.0,47864,19.7,hot,94.03
31.0,112681,53.0,hot,90.72
23.3,119885,36.4,cold,90.45
46.1,48083,48.3,cold,92.34
65.6,160510,92.4,temperate,86.65
21.9,113962,54.5,hot,91.23
31.8,130821,41.5,cold,88.99
